ofício,Schreiben
colónia,Kolonie
colônia,Kolonie
colonizável,kolonisierbar
colonizar,kolonisieren
colonização,Kolonisierung
colono,Kolonist
colunata,Kolonnade
coluna,Kolonne
colonopatia,Kolonopathie
colopatia,Kolonopathie
colonoscópio,Kolonoskop
colopexia,Kolopexie
coloproctologia,Koloproktologie
colonoscopia,Koloskopie
colonoscópio,Koloskop
colossal,kolossal
descomunal,kolossal
colosso,Koloss
divulgar,kolportieren
colombiana,Kolumbianerin
colombiano,Kolumbianer
colombiano,kolumbianisch
Colômbia,Kolumbien
coluna,Kolumne
colunista,Kolumnistin
colunista,Kolumnist
coma,Koma
combinação,Kombination
combinatória,Kombinatorik
combinar-se,kombinieren
combinar,kombinieren
deduzir,kombinieren
juntar,kombinieren
reunir,kombinieren
combinado,kombiniert
cometa,Komet
conforto,Komfort
conveniência,Komfort
cómica,Komikerin
cômica,Komikerin
humorista,Komikerin
comediante,Komiker
cómico,Komiker
humorista,Komiker
divertido,komisch
engraçado,komisch
insólito,komisch
cómico,komisch
engraçado,komisch
esquisito,komisch
estranho,komisch
cômico,komisch
comitativo,Komitativ
comissão,Komitee
junta,Komitee
Vem!,Komm!
Venha!,Komm!
comandante,Kommandantin
comandante,Kommandant
passadiço,Kommandobrücke
comando,Kommando
vírgula,Komma
acontecer,kommen
aparecer,kommen
chegar,kommen
comparecer,kommen
comentário,Kommentar
comentadora,Kommentatorin
comentarista,Kommentatorin
comentador,Kommentator
comentarista,Kommentator
comentar,kommentieren
vir,kommen
voltar,kommen
ir,kommen
chegada,Kommen
vinda,Kommen
comercializar,kommerzialisieren
comercial,kommerziell
comissão,Kommission
junta,Kommission
cómoda,Kommode
cômoda,Kommode
Entra!,Komm rein!
Negativo!,Kommt nicht in Frage!
comunhão,Kommunion
comunismo,Kommunismus
comunista,Kommunistin
comunista,kommunistisch
comunista,Kommunist
comunitarismo,Kommunitarismus
comunicar,kommunizieren
abeliano,kommutativ
comutativamente,kommutativ
comutativo,kommutativ
comutatividade,Kommutativität
comutador,Kommutator
comutar,kommutieren
comorbidade,Komorbidität
compactificação,Kompaktifizierung
maciço,kompakt
companhia,Kompanie
comparativo,Komparativ
comparsa,Komparse
comparsa,Komparsin
bússola,Kompass
compatível,kompatibel
competente,kompetent
alçada,Kompetenz
autoridade,Kompetenz
capacidade,Kompetenz
competência,Kompetenz
conhecimento,Kompetenz
know-how,Kompetenz
poder,Kompetenz
compilação,Kompilation
complemento,Komplement
complementar,komplementär
complementarmente,komplementär
completamente,komplett
completo,komplett
detonado,Komplettlösung
complexidade,Komplexität
sofisticado,komplex
complicação,Komplikation
elogio,Kompliment
cúmplice,Komplize
complexo,kompliziert
complicado,kompliziert
intrincado,kompliziert
cúmplice,Komplizin
componente,Komponente
compor,komponieren
compositora,Komponistin
compositor,Komponist
compressibilidade,Kompressibilität
comprimir,komprimieren
comprimido,komprimiert
compromisso,Kompromiss
comediante,Komödiantin
comédia,Komödie
conchoide,Konchoide
condensação,Kondensation
capacitor,Kondensator
condensar,kondensieren
condicionamento,Konditionierung
termo,Kondition
confeitaria,Konditorei
pastelaria,Konditorei
confeiteiro,Konditor
camisinha,Kondom
preservativo,Kondom
condor,Kondor
condutor,Konduktor
conferência,Konferenz
convenção,Konferenz
conferenciar,konferieren
confissão,Konfession
confete,Konfetti
configuração,Konfiguration
configurar,konfigurieren
confirmação,Konfirmation
confiscação,Konfiskation
confisco,Konfiskation
confiscado,konfisziert
confiscação,Konfiszierung
confisco,Konfiszierung
doce,Konfitüre
combate,Konflikt
conflito,Konflikt
conformismo,Konformismus
confrontação,Konfrontation
confronto,Konfrontation
confrontar,konfrontieren
confrontado,konfrontiert
confuso,konfus
confusão,Konfusion
confucionismo,Konfuzianismus
conglomerado,Konglomerat
congolês,kongolesisch
Congo,Kongo
congruente,kongruent
congruência,Kongruenz
conjugação,Konjugation
conjugável,konjugierbar
conjugar,konjugieren
conjugado,konjugiert
conjunção,Konjunktion
conjuntura,Konjunktur
côncavo,konkav
conclave,Konklave
concordata,Konkordat
concretamente,konkret
concreto,konkret
concretismo,Konkretismus
concubina,Konkubine
concorrente,Konkurrentin
competidor,Konkurrent
concorrente,Konkurrent
competitividade,Konkurrenzfähigkeit
competição,Konkurrenz
concorrência,Konkurrenz
concurso,Konkurrenz
competir,konkurrieren
concorrer,konkurrieren
bancarrota,Konkurs
falência,Konkurs
quebra,Konkurs
conotação,Konnotation
conotativamente,konnotativ
conotativo,konnotativ
Conrado,Konrad
consagração,Konsekration
conservantismo,Konservatismus
conservador,konservativ
conservadoramente,konservativ
conservadorismo,Konservativismus
curadora,Konservatorin
curador,Konservator
conservar,konservieren
conservante,Konservierungsmittel
conservante,Konservierungsstoff
conservação,Konservierung
consistente,konsistent
constante,konsistent
estável,konsistent
sólido,konsistent
consistência,Konsistenz
consolação,Konsolation
consola,Konsole
console,Konsole
consoante,konsonant
consoante,Konsonantenbuchstabe
consoante,Konsonant
condestável,Konstabel
condestável,Konstabler
constante,Konstante
invariável,Konstante
Constantinopla,Konstantinopel
constante,konstant
constelação,Konstellation
consternado,konsterniert
constitucionalismo,Konstitutionalismus
constitutivo,konstitutiv
construir,konstruieren
construído,konstruiert
construção,Konstruktion
construtivamente,konstruktiv
construtivo,konstruktiv
construtivismo,Konstruktivismus
consulado,Konsulat
consultar,konsultieren
cônsul,Konsul
consumo,Konsum
contagioso,kontagiös
contato,Kontaktaufnahme
contacto,Kontakt
contato,Kontakt
ligação,Kontakt
contraterrorista,konterterroristisch
contextualização,Kontextualisierung
contextualidade,Kontextualität
contexto,Kontext
continental,kontinental
continente,Kontinent
continuamente,kontinuierlich
contínuo,kontinuierlich
continuidade,Kontinuität
secretária,Kontoristin
secretário,Kontorist
saldo,Kontosaldo
conta,Konto
contraditoriamente,kontradiktorisch
contraditório,kontradiktorisch
adversária,Kontrahentin
contraparte,Kontrahent
contratante,Kontrahent
adversário,Kontrahent
contratualismo,Kontraktualismus
contralateral,kontralateral
contraproducente,kontraproduktiv
contraste,Kontrast
contravariante,kontravariant
fiscal,Kontrolleur
revisor,Kontrolleur
supervisor,Kontrolleur
verificador,Kontrolleur
ensaio,Kontrolle
exame,Kontrolle
fiscalização,Kontrolle
inspeção,Kontrolle
prova,Kontrolle
revisão,Kontrolle
supervisão,Kontrolle
verificação,Kontrolle
controle,Kontrolle
controlo,Kontrolle
controlabilidade,Kontrollierbarkeit
conferir,kontrollieren
controlar,kontrollieren
dominar,kontrollieren
examinar,kontrollieren
fiscalizar,kontrollieren
monitorar,kontrollieren
supervisionar,kontrollieren
testar,kontrollieren
verificar,kontrollieren
controvérsia,Kontroverse
polêmico,kontrovers
contorno,Kontur
contusão,Kontusion
convencionalismo,Konventionalismus
convencional,konventionell
convencionalmente,konventionell
convenção,Konvention
conversa,Konversation
conversação,Konversation
converter,konvertieren
convexamente,konvex
convexo,konvex
convexidade,Konvexität
comboio,Konvoi
concentração,Konzentration
concentração,Konzentration
concepção,Konzeption
conceção,Konzeption
proposição,Konzept
conglomerado,Konzern
concerto,Konzert
concílio,Konzil
concebido,konzipiert
cooperação,Kooperation
cooperar,kooperieren
coordenada,Koordinate
coordenação,Koordination
coordenar,koordinieren
coordenadamente,koordiniert
coordenado,koordiniert
copeque,Kopeke
Copenhaga,Kopenhagen
copernicano,kopernikanisch
cabeceamento,Kopfball
cabeceio,Kopfball
cabeceira,Kopfende
fronha,Kopfkissenbezug
almofada,Kopfkissen
travesseiro,Kopfkissen
acéfalo,kopflos
cefaléia,Kopfschmerz
lenço,Kopftuch
cabeça,Kopf
copiar,kopieren
cópia,Kopie
xerox,Kopie
copista,Kopistin
copista,Kopist
ligação,Kopplung
copta,Kopte
cópula,Kopulation
copular,kopulieren
cobra-coral,Korallennatter
coral,Koralle
Alcorão,Koran
Corão,Koran
cesta,Korb
cesto,Korb
corbelha,Korb
lebre-coreana,Korea-Hase
coreana,Koreanerin
coreano,Koreaner
coreano,koreanisch
coreano,Koreanisch
Coreia,Korea
Coréia,Korea
coentro,Koriander
coca-bichinhos,Korinthenkacker
picuinhas,Korinthenkacker
corinto,Korinthe
sobreiro,Korkeiche
saca-rolhas,Korkenzieher
rolha,Korken
tampa,Korken
corticeira,Korkfabrik
cortiça,Kork
grão,Korn
corolário,Korollar
coroa,Korona
cabo,Korporal
corpulento,korpulent
gordo,korpulent
obeso,korpulent
volumoso,korpulent
correcto,korrekt
correto,korrekt
reforma,Korrektur
correlação,Korrelation
correlato,Korrelat
correspondente,Korrespondentin
correspondente,Korrespondent
correspondência,Korrespondenz
corredor,Korridor
corrigir,korrigieren
emendar,korrigieren
retificar,korrigieren
corrupto,korrupt
corrupção,Korruption
corsário,Korsar
espartilho,Korsett
Córsega,Korsika
córsico,korsisch
córtex,Kortex
cortical,kortikal
corveta,Korvette
cossaco,Kosak
kosher,koscher
co-secante,Kosekans
co-secante,Kosekante
diminutivo,Kosename
cosseno,Kosinus
esteticista,Kosmetikerin
cosmético,Kosmetikum
cosmético,Kosmetik
cosmético,kosmetisch
cosmogonia,Kosmogonie
cosmográfico,kosmographisch
cosmologia,Kosmologie
cosmonauta,Kosmonautin
cosmonauta,Kosmonaut
cosmopolita,kosmopolitisch
cosmopolita,Kosmopolit
cosmos,Kosmos
cosmo,Kosmos
universo,Kosmos
Cossovo,Kosovo
Cóssovo,Kosovo
Kosovo,Kosovo
Kossovo,Kosovo
preciosidade,Kostbarkeit
precioso,kostbar
valioso,kostbar
caro,kostbar
custo-benefício,Kosten-Nutzen-Verhältnis
orçamento,Kostenanschlag
custar,kosten
gratuito,kostenlos
grátis,kostenlos
saborear,kosten
orçamento,Kostenvoranschlag
experimentar,kosten
provar,kosten
custo,Kosten
despesa,Kosten
gastos,Kosten
gasto,Kosten
preço,Kosten
alimentação,Kost
sustento,Kost
alimento,Kost
comida,Kost
disfarce,Kostümierung
fantasia,Kostüm
costeleta,Kotelett
guarda-lamas,Kotflügel
para-lamas,Kotflügel
vomitar,kotzen
covalente,kovalent
covariante,kovariant
engatinhar,krabbeln
formigar,krabbeln
gatinhar,krabbeln
rastejar,krabbeln
camarão,Krabbe
caranguejo,Krabbe
estrondoso,krachend
alarido,Krach
barulheira,Krach
estardalhaço,Krach
estrondo,Krach
cogeração,Kraft-Wärme-Kopplung
automóvel,Kraftfahrzeug
dinamómetro,Kraftmesser
dinamômetro,Kraftmesser
carburante,Kraftstoff
combustível,Kraftstoff
robusto,kraftvoll
vigoroso,kraftvoll
viril,kraftvoll
automóvel,Kraftwagen
fortaleza,Kraft
força,Kraft
poder,Kraft
viço,Kraft
preguiça-de-coleira,Kragenfaultier
colarinho,Kragen
gola,Kragen
Cracóvia,Krakau
polvo,Krake
garra,Kralle
pata,Kralle
presa,Kralle
unha,Kralle
remexer,kramen
loja,Kramladen
convulsivamente,krampfartig
convulsivo,krampfartig
espasmodicamente,krampfartig
espasmódico,krampfartig
convulsivamente,krampfhaft
convulsivo,krampfhaft
espasmodicamente,krampfhaft
espasmódico,krampfhaft
anticonvulsivo,krampfhemmend
cãibra,Krampf
maçada,Krampf
bagulho,Kram
tralha,Kram
cranial,kranial
craniano,kranial
craniologia,Kraniologie
doente,krank
enfermo,krank
fisioterapia,Krankengymnastik
hospitalização,Krankenhauseinweisung
hospital,Krankenhaus
enfermeiro,Krankenpfleger
enfermeira,Krankenschwester
seguro-saúde,Krankenversicherung
ambulância,Krankenwagen
doente,Kranker
doente,Kranke
mórbido,krankhaft
patogénico,krankheitserregend
patogênico,krankheitserregend
doença,Krankheit
enfermidade,Krankheit
moléstia,Krankheit
coroa,Kranz
grinalda,Kranz
trança,Kranz
grua,Kran
guindaste,Kran
grosso,krass
cratera,Krater
arranhar,kratzen
coçar,kratzen
esmurrar,kratzen
rabiscar,kratzen
raspar,kratzen
riscar,kratzen
arranhadura,Kratzer
risco,Kratzer
arranhão,Kratzer
pelicano-crespo,Krauskopfpelikan
crespo,kraus
couve,Kraut
erva,Kraut
hortaliça,Kraut
repolho,Kraut
verdura,Kraut
agitação,Krawall
arruaça,Krawall
tumulto,Krawall
barulheira,Krawall
gravata,Krawatte
criacionismo,Kreationismus
criação,Kreation
criatividade,Kreativität
criativo,kreativ
cancerígeno,Krebs erregend
cancerígeno,krebserregend
câncer,Krebsleiden
cancro,Krebs
caranguejo,Krebs
câncer,Krebs
aparador,Kredenz
credência,Kredenz
solvência,Kreditfähigkeit
solvente,kreditfähig
prestamista,Kreditgeber
solvente,kreditwürdig
confiança,Kredit
crédito,Kredit
empréstimo,Kredit
credo,Kredo
cretáceo,Kreidezeit
cretácico,Kreidezeit
giz,Kreide
criar,kreieren
chiar,kreischen
gritar,kreischen
guinchar,kreischen
pião,Kreisel
rotatória,Kreisel
girar,kreisen
desmaio,Kreislaufkollaps
síncope,Kreislaufkollaps
circuito,Kreislauf
circulação,Kreislauf
anel,Kreisring
rotatória,Kreisverkehr
rotunda,Kreisverkehr
círculo,Kreis
sector,Kreis
setor,Kreis
circuito,Kreis
crematório,Krematorium
Kremlin,Kreml
tralha,Krempel
aba,Krempe
creme,Krem
morrer,krepieren
explodir,krepieren
agrião,Kresse
Creta,Kreta
tergo,Krete
Cretinismo,Kretinismus
cruzador,Kreuzer
cruzado,Kreuzfahrer
cruzada,Kreuzfahrt
cruzeiro,Kreuzfahrt
crucial,kreuzförmig
cruciforme,kreuzförmig
claustro,Kreuzgang
crucificar,kreuzigen
crucificação,Kreuzigung
cominho,Kreuzkümmel
cruzado,Kreuzritter
cruzamento,Kreuzung
cruzamento,Kreuzung
encruzilhada,Kreuzweg
via-crúcis,Kreuzweg
cruzada,Kreuzzug
crucifixo,Kreuz
cruz,Kreuz
formigamento,Kribbeln
críquete,Kricket
arrastar-se,kriechen
bajular,kriechen
rastejar,kriechen
gatinhar,kriechen
réptil,Kriechtier
apanhar,kriegen
obter,kriegen
receber,kriegen
belicosamente,kriegerisch
belicoso,kriegerisch
bélico,kriegerisch
guerreiro,kriegerisch
marcial,kriegerisch
bélico,Kriegs-
marcial,Kriegs-
pacifista,Kriegsgegner
belonave,Kriegsschiff
guerra,Krieg
criminalidade,Kriminalität
delinquência,Kriminalität
criminal,kriminell
criminalmente,kriminell
criminosamente,kriminell
criminoso,kriminell
criminoso,Krimineller
criminologia,Kriminologie
bugiganga,Krimskrams
Crimeia,Krim
manjedoira,Krippe
manjedoura,Krippe
creche,Krippe
infantário,Krippe
presépio,Krippe
crise,Krise
emergência,Krise
Krishna,Krishna
cristalográfico,kristallografisch
cristalográfico,kristallographisch
cristal,Kristall
critério,Kriterium
crítica,Kritikerin
crítico,Kritiker
criticismo,Kritik
crítica,Kritik
crítico,kritisch
decisivo,kritisch
vital,kritisch
crucial,kritisch
grave,kritisch
criticar,kritisieren
rascunhar,kritzeln
croata,Kroate
Croácia,Kroatien
croata,Kroatin
croata,kroatisch
croquete,Krokette
crocodilo,Krokodil
croco,Krokus
coroa,Krone
copa,Krone
cápsula,Kronkorken
lampadário,Kronleuchter
lustre,Kronleuchter
caneca,Krug
canecão,Krug
cântaro,Krug
jarra,Krug
jarro,Krug
torto,krumm
curvo,krumm
torcido,krumm
tortuoso,krumm
crustáceo,Krustentier
crosta,Kruste
criobiologia,Kryobiologie
criptografia,Kryptografie
criptografia,Kryptographie
criptógrafo,Kryptograph
criptologia,Kryptologie
criptônio,Krypton
crípton,Krypton
chiar,krächzen
crocitar,krächzen
grasnar,krächzen
fortificar,kräftigen
revigorar,kräftigen
forte,kräftig
poderoso,kräftig
pujante,kräftig
cantar,krähen
corvo,Krähe
mercantilismo,Krämergeist
ferir,kränken
machucar,kränken
adoentado,kränklich
insulto,Kränkung
infusão,Kräutertee
tisana,Kräutertee
coroação,Krönung
sapo,Kröte
muleta,Krücke
bengala,Krückstock
migalha,Krümel
curvatura,Krümmung
aleijado,Krüppel
Cualalampur,Kuala Lumpur
cubano,Kubaner
cubano,kubanisch
Cuba,Kuba
cubismo,Kubismus
cuboctaedro,Kuboktaeder
cuboctaedro,Kubooktaeder
cubo,Kubus
bolo,Kuchen
torta,Kuchen
cuco,Kuckuck
salgalhada,Kuddelmuddel
kudurista,Kuduro-Sängerin
kudurista,Kuduro-Sänger
kuduro,Kuduro
kuduro,Kuduru
patim,Kufe
esférico,kugelförmig
calota,Kugelhaube
esférico,kugelig
globular,kugelig
gorducho,kugelig
rechonchudo,kugelig
caneta,Kugelschreiber
esferográfica,Kugelschreiber
bola,Kugel
esfera,Kugel
globo,Kugel
bala,Kugel
projéctil,Kugel
projétil,Kugel
feijão-de-corda,Kuhbohne
feijão-frade,Kuhbohne
feijão-fradinho,Kuhbohne
feijão-miúdo,Kuhbohne
chocalho,Kuhglocke
vaqueiro,Kuhhirte
garça-vaqueira,Kuhreiher
estábulo,Kuhstall
vacaria,Kuhstall
vaca,Kuh
amável,kulant
justo,kulant
atencioso,kulant
gentil,kulant
culinário,kulinarisch
bastidor,Kulisse
esferográfica,Kuli
cultivar,kultivieren
cultivado,kultiviert
necessaire,Kulturbeutel
nécessaire,Kulturbeutel
cultural,kulturell
culturalmente,kulturell
cultura,Kultur
aflição,Kummer
tribulação,Kummer
camarada,Kumpel
colega,Kumpel
companheiro,Kumpel
parceiro,Kumpel
mineiro,Kumpel
bro,Kumpel
irmão,Kumpel
cliente,Kunde
freguês,Kunde
manifestação,Kundgebung
cliente,Kundin
freguesa,Kundin
batedor,Kundschafter
explorador,Kundschafter
clientela,Kundschaft
freguesia,Kundschaft
artesã,Kunsthandwerkerin
artesão,Kunsthandwerker
artesanato,Kunsthandwerk
mecenas,Kunstmäzenin
mecenas,Kunstmäzen
plástico,Kunststoff
ebanista,Kunsttischler
neologismo,Kunstwort
arte,Kunst
cobre,Kupfer
abóbada,Kuppel
cúpula,Kuppel
domo,Kuppel
alcoviteiro,Kuppler
casamenteiro,Kuppler
acoplamento,Kupplung
embraiagem,Kupplung
embreagem,Kupplung
engate,Kupplung
curável,kurabel
curadora,Kuratorin
curador,Kurator
cambota,Kurbelwelle
manivela,Kurbel
curdo,Kurde
curda,Kurdin
curdo,kurdisch
Curdistão,Kurdistan
príncipe-eleitor,Kurfürst
curar,kurieren
mensageiro,Kurier
curioso,kurios
açafroa,Kurkuma
açafrão-da-terra,Kurkuma
açafrão-da-índia,Kurkuma
cúrcuma,Kurkuma
turmérico,Kurkuma
açafrão-da-terra,Kurkume
açafrão-da-índia,Kurkume
cúrcuma,Kurkume
itálico,kursiv
curso,Kursus
curso,Kurs
curva,Kurve
sinuoso,kurvig
brevemente,kurz
curto,kurz
shorte,kurze Hosen
apagada,kurze Ohnmacht
efémero,kurzlebig
efêmero,kurzlebig
curto-circuito,Kurzschluss
miopia,Kurzsichtigkeit
míope,kurzsichtig
breve,kurz
tratamento,Kur
submeter-se,kuschen
cuscuz,Kuskus
beijo,Kuss
cutícula,Kutikula
cocheiro,Kutscher
carruagem,Kutsche
coche,Kutsche
diligência,Kutsche
Koweit,Kuwait
Kuwait,Kuwait
Cibele,Kybele
cibernética,Kybernetik
Cicreu,Kychreus
Cirenaica,Kyrenaika
besouro,Käfer
escaravelho,Käfer
café,Käffchen
gaiola,Käfig
jaula,Käfig
frieza,Kälte
frio,Kälte
pentear,kämmen
vereador,Kämmerer
combater,kämpfen
lutar,kämpfen
combatente,Kämpferin
combativo,kämpferisch
lutador,kämpferisch
atleta,Kämpfer
combatente,Kämpfer
casuarina,Kängurubaum
canguru,Känguru
Caríntia,Kärnten
chulé,Käsefüße
queijeira,Käseglocke
queijo,Käse
disparate,Käse
estupidez,Käse
bichano,Kätzchen
gatinho,Kätzchen
comprador,Käufer
comprável,käuflich
cozinheira,Köchin
fisgar,ködern
engodo,Köder
isca,Köder
isco,Köder
jabuti,Köhlerschildkröte
colônia,Kölnischwasser
Colónia,Köln
Colônia,Köln
rainha,Königin
real,königlich
régio,königlich
reino,Königreich
Kaliningrado,Königsberg
feto-real,Königsfarn
realeza,Königshaus
rei,König
rei,König
conseguir,können
poder,können
saber,können
capacidade,Können
habilidade,Können
poder,Können
qualificação,Können
saber,Können
decapitar,köpfen
deficiente,körperbehindert
obesidade,Körperfülle
altura,Körpergröße
corporal,körperlich
físico,körperlich
robusto,körperlich gesund
corporalidade,Körperlichkeit
corporeidade,Körperlichkeit
esfoliante,Körperpeeling
ferimento,Körperverletzung
corpo,Körper
delicioso,köstlich
iguaria,Köstlichkeit
requinte,Köstlichkeit
saboroso,köstlich
rafeiro,Köter
vira-lata,Köter
balde,Kübel
cutelo,Küchenbeil
barata,Küchenschabe
despensa,Küchenschrank
timer,Küchenuhr
cozinha,Küche
culinária,Küche
frigorífico,Kühl-
frigorífico,Kühlabteilung
refrigerar,kühlen
grelha,Kühlergrill
radiador,Kühler
frigorífico,Kühlschrank
geladeira,Kühlschrank
refrigerador,Kühlschrank
refrigeração,Kühlung
frio,kühl
reservado,kühl
fresco,kühl
audaz,kühn
audácia,Kühnheit
denodo,Kühnheit
ousadia,Kühnheit
ousado,kühn
pintainho,Küken
pintinho,Küken
pinto,Küken
pito,Küken
alcaravia,Kümmel
cominho,Kümmel
pobre,kümmerlich
rescindível,kündbar
revogável,kündbar
denunciar,kündigen
despedir,kündigen
dispensar,kündigen
rescindir,kündigen
observação,Kündigung
rescisão,Kündigung
despedimento,Kündigung
futuro,künftig
artista,Künstlerin
artístico,künstlerisch
artista,Künstler
anormal,künstlich
antinatural,künstlich
artificial,künstlich
desnatural,künstlich
missanga,künstliche Perle
miçanga,künstliche Perle
falsiê,künstlich
falso,künstlich
postiço,künstlich
sintético,künstlich
abóbora,Kürbis
moranga,Kürbis
abrasão,Kürettage
curetagem,Kürettage
peleiro,Kürschner
abreviar,kürzen
cortar,kürzen
aparar,kürzen
recentemente,kürzlich
beijinho,Küsschen
Beijoca!,Küsse!
beijar,küssen
oscular,küssen
costeiro,Küsten-
litoral,Küsten-
litoral,Küstengebiet
sacristã,Küsterin
sacristão,Küster
costa,Küste
litoral,Küste
palrar,labern
papaguear,labern
refresco,Labe
instável,labil
jaleco,Labormantel
laboratório,Labor
labiríntico,labyrinthisch
labirinto,Labyrinth
risonho,lachend
rir,lachen
risada,Lachen
riso,Lachen
salmão,Lachs
laquear,lackieren
envernizar,lackieren
pintor,Lackierer
verniz,Lack
tinta,Lack
carregador,Ladegerät
lojista,Ladenbesitzerin
lojista,Ladenbesitzer
carregar,laden
loja,Laden
negócio,Laden
carregamento,Ladung
citação,Ladung
convite,Ladung
convocação,Ladung
intimação,Ladung
matéria,Ladung
carga,Ladung
fogueira,Lagerfeuer
almoxarifado,Lagerhalle
almoxarifado,Lagerhaus
armazém,Lagerhaus
acampar,lagern
deitar,lagern
estocar,lagern
acampamento,Lagerplatz
armazém,Lagerraum
armazenamento,Lagerung
acampamento,Lager
armazém,Lager
campo,Lager
almoxarifado,Lager
camada,Lage
condição,Lage
conjuntura,Lage der Dinge
estado,Lage
localização,Lage
lugar,Lage
posição,Lage
situação,Lage
conjuntura,Lage
Lagos,Lagos
laguna,Lagune
domesticado,lahm
coxear,lahmen
paralisar,lahmlegen
paralisação,Lahmlegung
mansinho,lahm
manso,lahm
amador,Laie
leigo,Laie
lençois,Laken
lençol,Laken
laconicamente,lakonisch
lacónico,lakonisch
lacônico,lakonisch
lactose,Laktose
lamarckismo,Lamarckismus
lamarquismo,Lamarckismus
lama,Lama
lhama,Lama
lambada,Lambada
lambda,Lambda
Lâmia,Lamia
laminar,laminieren
cordeiro,Lamm
nervosismo,Lampenfieber
timidez,Lampenfieber
abajur,Lampenschirm
lanterna,Lampe
lâmpada,Lampe
abajur,Lampe
lançar,lancieren
espalhar,lancieren
aterrar,landen
aterrissar,landen
desembarcar,landen
istmo,Landenge
pousar,landen
governo,Landesregierung
nacional,landesweit
herdade,Landgut
quinta,Landgut
rancho,Landgut
sítio,Landgut
mapa,Landkarte
comarca,Landkreis
distrito,Landkreis
comum,landläufig
comumente,landläufig
comummente,landläufig
habitual,landläufig
usual,landläufig
costumeiro,landläufig
alfaia,Landmaschine
panorâmico,landschaftlich
paisagístico,landschaftlich
regional,landschaftlich
cenário,Landschaft
paisagem,Landschaft
panorama,Landschaft
província,Landschaft
região,Landschaft
campo,Landschaft
compatriota,Landsfrau
lansquenete,Landsknecht
lansquené,Landsknecht
lansquenê,Landsknecht
compatriota,Landsmann
andarilho,Landstreicher
vagabundo,Landstreicher
aterrissagem,Landung
tetrápode,Landwirbeltier
agricolamente,landwirtschaftlich
agronomicamente,landwirtschaftlich
agronómico,landwirtschaftlich
agronômico,landwirtschaftlich
agrário,landwirtschaftlich
agrícola,landwirtschaftlich
agricultura,Landwirtschaft
agricultor,Landwirt
agrícola,Landwirt
campo,Land
país,Land
terra,Land
estado,Land
pesado,langatmig
comprido,lang
estaca,langer Lulatsch
aborrecimento,Langeweile
chateação,Langeweile
chatice,Langeweile
albacora,Langflossenthun
albacorinha,Langflossenthun
asinha,Langflossenthun
atum-branco,Langflossenthun
atum-de-galha-comprida,Langflossenthun
avoador,Langflossenthun
bandolim,Langflossenthun
carorocatá,Langflossenthun
ervacora,Langflossenthun
durável,langlebig
longevidade,Langlebigkeit
perene,langlebig
longevo,langlebig
longo,lang
lombardo,Langobarde
longobardo,Langobarde
arrastado,langsam
devagar,langsam
gradual,langsam
lentidão,Langsamkeit
lentamente,langsam
lento,langsam
lagosta,Languste
chato,Langweiler
tédio,Langweile
aborrecido,langweilig
entediante,langweilig
fastidioso,langweilig
maçante,langweilig
tedioso,langweilig
chato,langweilig
moroso,langwierig
lantanoide,Lanthanoid
lantanídeo,Lanthanoid
lantânio,Lanthan
lanugo,Lanugohaar
lança,Lanze
Laodamante,Laodamas
Laomedonte,Laomedon
Laos,Laos
lapidar,lapidar
ninharia,Lappalie
laptop,Laptop
notebook,Laptop
larva,Larve
laringite,Laryngitis
lasanha,Lasagne
lassidão,Laschheit
deixar,lassen
permitir,lassen
laço,Lasso
Vamos!,Lass uns gehen!
pesar,lasten
viciado,lasterhaft
caminhão,Lastkraftwagen
camião,Lastkraftwagen
débito,Lastschrift
caminhoneiro,Lastwagenfahrer
caminhão,Lastwagen
camião,Lastwagen
fardo,Last
carga,Last
lascivo,lasziv
latino-americano,lateinamerikanisch
latino,lateinisch
romano,lateinisch
latim,Latein
Latrão,Lateran
candeeiro,Laterne
lampião,Laterne
lanterna,Laterne
latifúndio,Latifundium
latinizar,latinisieren
latinizado,latinisiert
latinização,Latinisierung
Lácio,Latium
lativo,Lativ
latrina,Latrine
estaca,Latte
fasquia,Latte
perereca,Laubfrosch
gafanhoto,Laubheuschrecke
folhagem,Laub
ramagem,Laub
alho-porro,Lauch
alho-poró,Lauch
espreitar,lauern
carreira,Laufbahn
correr,laufen
andar,laufen
ir,laufen
passear,laufen
piso,Lauffläche
sola,Lauffläche
executável,lauffähig
rotor,Laufrad
passarela,Laufsteg
passarela,Laufsteg
drive,Laufwerk
prazo,Laufzeit
curso,Lauf
cano,Lauf
corrida,Lauf
lixívia,Lauge
morno,lau
inconstante,launenhaft
astral,Laune
capricho,Laune
engraçado,launig
instável,launisch
temperamental,launisch
Lourenço,Laurenz
Lausana,Lausanne
Lausanne,Lausanne
gaiato,Lausbub
escutar,lauschen
aconchegante,lauschig
gaiato,Lausejunge
Lusácia,Lausitz
piolho,Laus
alto,laut
barulhento,laut
dizer,lauten
soar,lauten
gaitada,lautes Gelächter
alaúde,Laute
forte,laut
silencioso,lautlos
onomatopeia,Lautmalerei
onomatopaico,lautmalerisch
potente,laut
ruidoso,laut
coluna,Lautsprecherbox
alto-falante,Lautsprecher
amplificador,Lautsprecher
volume,Lautstärke
pronúncia,Lautung
conforme,laut
segundo,laut
barulho,Laut
som,Laut
tom,Laut
indiferente,lauwarm
morno,lauwarm
tépido,lauwarm
temperado,lau
tíbio,lau
